Delivery_person_Age,Weather_conditions,Road_traffic_density,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min)
37.0,Cloudy,Medium,Drinks,motorcycle,1.0,No,Urban,26
33.0,Sunny,High,Snack,scooter,1.0,No,Metropolitian,18
31.0,Fog,Medium,Snack,motorcycle,1.0,No,Metropolitian,16
31.0,Stormy,Low,Drinks,scooter,1.0,No,Metropolitian,23
25.0,Cloudy,Low,Snack,motorcycle,0.0,No,Metropolitian,15
28.0,Sandstorms,Jam,Drinks,motorcycle,1.0,No,Metropolitian,36
31.0,Cloudy,Low,Snack,motorcycle,0.0,No,Metropolitian,16
24.0,Sunny,Medium,Buffet,motorcycle,0.0,No,Urban,19
39.0,Sunny,Low,Snack,motorcycle,1.0,No,Metropolitian,27
39.0,Fog,Jam,Snack,scooter,1.0,No,Semi-Urban,49
32.0,Windy,Low,Buffet,scooter,0.0,No,Metropolitian,20
36.0,Cloudy,Jam,Snack,motorcycle,1.0,No,Metropolitian,30
25.0,Sandstorms,Low,Drinks,scooter,0.0,No,Urban,18
33.0,Sunny,Jam,Drinks,scooter,0.0,No,Metropolitian,22
30.0,Cloudy,Low,Drinks,scooter,1.0,No,Metropolitian,34
33.0,Sandstorms,Low,Buffet,motorcycle,0.0,No,Urban,24
36.0,Fog,Medium,Drinks,scooter,1.0,No,Metropolitian,17
21.0,Sandstorms,Low,Meal,electric_scooter,0.0,No,Metropolitian,14
39.0,Stormy,Jam,Meal,motorcycle,1.0,No,Metropolitian,30
23.0,Stormy,Low,Meal,scooter,1.0,No,Metropolitian,15
35.0,Fog,Medium,Buffet,scooter,1.0,No,Urban,16
39.0,Cloudy,Jam,Snack,scooter,1.0,No,Metropolitian,36
22.0,Sunny,High,Buffet,scooter,1.0,No,Urban,18
32.0,Fog,Medium,Meal,scooter,0.0,No,Metropolitian,17
24.0,Sandstorms,Low,Buffet,motorcycle,1.0,No,Urban,15
29.0,Fog,Low,Buffet,motorcycle,1.0,No,Metropolitian,17
29.0,Fog,Low,Drinks,scooter,0.0,No,Metropolitian,19
26.0,Fog,Low,Buffet,motorcycle,0.0,No,Metropolitian,10
20.0,Fog,Jam,Drinks,motorcycle,1.0,No,Metropolitian,27
35.0,Sandstorms,Jam,Buffet,motorcycle,2.0,No,Metropolitian,37
39.0,Fog,Jam,Drinks,scooter,2.0,No,Metropolitian,44
34.0,Windy,High,Drinks,electric_scooter,1.0,No,Metropolitian,28
27.0,Cloudy,Jam,Snack,scooter,1.0,No,Metropolitian,42
30.0,Windy,Low,Snack,motorcycle,1.0,No,Metropolitian,25
25.0,Cloudy,Medium,Snack,scooter,1.0,No,Metropolitian,39
25.0,Stormy,Medium,Meal,motorcycle,0.0,No,Urban,20
30.0,Stormy,High,Buffet,motorcycle,1.0,No,Metropolitian,31
24.0,Stormy,Jam,Buffet,motorcycle,0.0,No,Metropolitian,13
39.0,Stormy,Jam,Meal,motorcycle,1.0,No,Metropolitian,28
25.0,Windy,High,Snack,scooter,1.0,No,Urban,19
37.0,Fog,Low,Buffet,motorcycle,2.0,Yes,Urban,42
24.0,Fog,Low,Drinks,motorcycle,1.0,No,Metropolitian,23
25.0,Stormy,Jam,Meal,motorcycle,1.0,No,Metropolitian,39
32.0,Stormy,Low,Drinks,motorcycle,1.0,No,Metropolitian,25
34.0,Sandstorms,Low,Drinks,scooter,0.0,No,Metropolitian,15
38.0,Cloudy,Low,Drinks,scooter,1.0,No,Urban,15
36.0,Sunny,Medium,Buffet,electric_scooter,0.0,No,Metropolitian,15
25.0,Stormy,Jam,Meal,motorcycle,1.0,No,Metropolitian,15
29.0,Sunny,Low,Drinks,motorcycle,0.0,No,Metropolitian,18
36.0,Sandstorms,Low,Drinks,electric_scooter,0.0,No,Metropolitian,29
33.0,Fog,Low,Snack,motorcycle,0.0,No,Metropolitian,20
36.0,Cloudy,High,Meal,scooter,1.0,No,Metropolitian,39
21.0,Windy,Low,Snack,motorcycle,0.0,No,Metropolitian,19
25.0,Cloudy,Low,Snack,scooter,1.0,No,Urban,19
23.0,Windy,Low,Meal,motorcycle,0.0,No,Metropolitian,17
25.0,Stormy,Low,Snack,motorcycle,1.0,No,Urban,15
24.0,Sandstorms,Low,Meal,motorcycle,0.0,No,Urban,19
27.0,Sandstorms,Jam,Buffet,motorcycle,1.0,No,Metropolitian,29
23.0,Cloudy,Low,Snack,scooter,1.0,No,Urban,22
21.0,Fog,Jam,Drinks,scooter,0.0,No,Metropolitian,42
27.0,Sandstorms,Low,Snack,scooter,0.0,No,Urban,12
32.0,Cloudy,Jam,Snack,motorcycle,1.0,No,Metropolitian,38
25.0,Sunny,Low,Drinks,motorcycle,1.0,No,Metropolitian,23
39.0,Cloudy,Low,Meal,scooter,0.0,No,Metropolitian,15
27.0,Sunny,Low,Snack,motorcycle,1.0,No,Metropolitian,24
39.0,Windy,Jam,Drinks,motorcycle,0.0,No,Metropolitian,37
31.0,Sandstorms,Low,Snack,scooter,0.0,No,Metropolitian,24
31.0,Sunny,Low,Buffet,electric_scooter,0.0,No,Metropolitian,13
20.0,Cloudy,Low,Drinks,motorcycle,0.0,No,Metropolitian,16
36.0,Cloudy,Medium,Drinks,motorcycle,1.0,No,Urban,42
20.0,Sandstorms,Low,Meal,motorcycle,1.0,No,Metropolitian,17
24.0,Cloudy,Jam,Drinks,motorcycle,0.0,No,Metropolitian,25
29.0,Fog,Low,Snack,electric_scooter,0.0,No,Metropolitian,25
39.0,Fog,Medium,Snack,scooter,0.0,No,Metropolitian,39
37.0,Sunny,High,Meal,scooter,0.0,No,Metropolitian,18
32.0,Sandstorms,Medium,Drinks,motorcycle,1.0,No,Metropolitian,28
22.0,Sandstorms,Low,Drinks,scooter,1.0,No,Metropolitian,18
23.0,Windy,Low,Meal,scooter,0.0,No,Metropolitian,18
33.0,Fog,Jam,Snack,scooter,1.0,No,Metropolitian,49
23.0,Sunny,Low,Drinks,motorcycle,0.0,No,Metropolitian,15
27.0,Sunny,Low,Drinks,motorcycle,1.0,No,Metropolitian,21
34.0,Sunny,High,Snack,scooter,0.0,No,Metropolitian,23
26.0,Fog,Low,Meal,scooter,1.0,No,Urban,11
31.0,Cloudy,Jam,Snack,motorcycle,0.0,No,Metropolitian,25
32.0,Fog,Low,Snack,motorcycle,0.0,No,Metropolitian,18
27.0,Cloudy,Low,Buffet,motorcycle,0.0,No,Metropolitian,14
21.0,Windy,Medium,Drinks,motorcycle,2.0,No,Metropolitian,36
28.0,Fog,Low,Drinks,motorcycle,1.0,No,Metropolitian,18
24.0,Fog,Medium,Meal,scooter,1.0,No,Urban,17
33.0,Sandstorms,Low,Snack,motorcycle,1.0,No,Metropolitian,28
20.0,Fog,Jam,Buffet,motorcycle,0.0,Yes,Metropolitian,44
31.0,Windy,Low,Snack,motorcycle,1.0,No,Metropolitian,20
29.0,Stormy,Low,Snack,scooter,0.0,No,Metropolitian,19
36.0,Fog,Jam,Snack,motorcycle,1.0,No,Metropolitian,35
31.0,Sandstorms,Jam,Meal,motorcycle,1.0,No,Metropolitian,50
39.0,Stormy,Jam,Meal,scooter,1.0,No,Metropolitian,34
29.0,Sunny,Jam,Meal,electric_scooter,1.0,No,Metropolitian,17
29.0,Sandstorms,High,Snack,scooter,0.0,No,Urban,23
37.0,Fog,Medium,Buffet,motorcycle,1.0,No,Metropolitian,27
33.0,Cloudy,High,Snack,motorcycle,0.0,No,Urban,26
31.0,Cloudy,Low,Buffet,scooter,1.0,No,Metropolitian,35
37.0,Windy,High,Drinks,motorcycle,1.0,No,Urban,41
26.0,Sandstorms,Low,Buffet,motorcycle,0.0,No,Metropolitian,23
24.0,Stormy,Medium,Snack,motorcycle,0.0,No,Metropolitian,30
23.0,Windy,Low,Buffet,scooter,1.0,No,Metropolitian,19
36.0,Windy,Low,Buffet,scooter,1.0,No,Metropolitian,27
39.0,Cloudy,High,Snack,motorcycle,1.0,No,Metropolitian,28
20.0,Sandstorms,Medium,Drinks,motorcycle,1.0,No,Metropolitian,24
20.0,Cloudy,Jam,Meal,motorcycle,1.0,No,Urban,36
29.0,Sandstorms,Low,Buffet,motorcycle,0.0,No,Metropolitian,28
36.0,Fog,Medium,Drinks,motorcycle,1.0,No,Urban,31
36.0,Sunny,Jam,Meal,motorcycle,3.0,No,Metropolitian,44
22.0,Windy,Low,Drinks,scooter,1.0,No,Metropolitian,15
38.0,Windy,Medium,Buffet,motorcycle,1.0,No,Metropolitian,33
39.0,Fog,Jam,Buffet,motorcycle,0.0,No,Metropolitian,30
24.0,Stormy,Medium,Snack,scooter,1.0,No,Metropolitian,22
30.0,Fog,Low,Snack,motorcycle,0.0,No,Metropolitian,43
35.0,Fog,Medium,Meal,motorcycle,3.0,No,Metropolitian,48
33.0,Stormy,Low,Drinks,electric_scooter,1.0,No,Metropolitian,19
39.0,Windy,Medium,Snack,motorcycle,1.0,No,Urban,21
31.0,Windy,Jam,Drinks,motorcycle,0.0,No,Metropolitian,44
37.0,Windy,Low,Drinks,scooter,0.0,No,Metropolitian,26
37.0,Windy,Low,Buffet,scooter,1.0,No,Metropolitian,26
33.0,Windy,High,Meal,motorcycle,1.0,No,Metropolitian,31
24.0,Stormy,Low,Meal,scooter,1.0,No,Urban,19
33.0,Sunny,Jam,Snack,scooter,0.0,No,Metropolitian,18
39.0,Fog,Medium,Meal,motorcycle,1.0,No,Metropolitian,38
37.0,Cloudy,Medium,Snack,motorcycle,1.0,No,Metropolitian,32
25.0,Sandstorms,Low,Meal,scooter,1.0,No,Metropolitian,17
28.0,Fog,Medium,Buffet,scooter,1.0,No,Urban,11
38.0,Windy,High,Buffet,motorcycle,1.0,No,Metropolitian,31
29.0,Sandstorms,Medium,Drinks,motorcycle,0.0,No,Metropolitian,43
31.0,Windy,Medium,Meal,motorcycle,0.0,No,Metropolitian,25
25.0,Cloudy,Jam,Snack,motorcycle,1.0,No,Metropolitian,22
35.0,Fog,Jam,Drinks,motorcycle,3.0,No,Metropolitian,43
39.0,Fog,Jam,Buffet,motorcycle,1.0,Yes,Metropolitian,42
38.0,Stormy,Jam,Meal,motorcycle,0.0,No,Metropolitian,42
35.0,Fog,Jam,Drinks,motorcycle,1.0,No,Metropolitian,34
29.0,Sandstorms,Low,Snack,motorcycle,1.0,No,Metropolitian,17
27.0,Stormy,Jam,Snack,scooter,0.0,No,Metropolitian,25
38.0,Sandstorms,Jam,Meal,motorcycle,1.0,Yes,Semi-Urban,54
36.0,Windy,Low,Buffet,motorcycle,0.0,No,Metropolitian,21
26.0,Cloudy,High,Buffet,motorcycle,1.0,No,Metropolitian,34
26.0,Fog,Jam,Meal,motorcycle,1.0,No,Metropolitian,36
36.0,Sunny,Medium,Drinks,motorcycle,0.0,No,Metropolitian,17
21.0,Sunny,Low,Meal,motorcycle,1.0,No,Metropolitian,16
35.0,Sunny,Jam,Meal,electric_scooter,1.0,No,Metropolitian,27
20.0,Fog,High,Meal,motorcycle,1.0,No,Metropolitian,26
23.0,Fog,Jam,Snack,motorcycle,2.0,Yes,Metropolitian,46
37.0,Sunny,Jam,Buffet,motorcycle,0.0,No,Metropolitian,29
26.0,Sandstorms,Jam,Snack,motorcycle,1.0,No,Metropolitian,23
29.0,Sandstorms,Low,Snack,scooter,1.0,No,Urban,11
26.0,Stormy,Medium,Snack,motorcycle,0.0,No,Metropolitian,28
29.0,Cloudy,Jam,Meal,motorcycle,1.0,No,Metropolitian,25
29.0,Sandstorms,Low,Snack,motorcycle,0.0,No,Metropolitian,11
21.0,Windy,Medium,Meal,scooter,1.0,No,Metropolitian,26
22.0,Stormy,Low,Meal,motorcycle,1.0,No,Metropolitian,23
31.0,Fog,Medium,Snack,motorcycle,2.0,No,Metropolitian,39
20.0,Fog,Low,Snack,motorcycle,0.0,No,Metropolitian,11
30.0,Stormy,Jam,Drinks,electric_scooter,1.0,No,Metropolitian,32
36.0,Fog,Medium,Snack,motorcycle,1.0,No,Metropolitian,43
24.0,Fog,Medium,Buffet,scooter,1.0,No,Metropolitian,13
32.0,Windy,Low,Buffet,electric_scooter,0.0,No,Metropolitian,25
25.0,Windy,Medium,Drinks,motorcycle,0.0,No,Metropolitian,27
27.0,Windy,Medium,Drinks,scooter,1.0,No,Metropolitian,29
32.0,Sandstorms,Medium,Buffet,motorcycle,1.0,No,Metropolitian,33
23.0,Fog,Medium,Drinks,motorcycle,1.0,No,Urban,19
39.0,Sunny,Medium,Meal,motorcycle,1.0,No,Metropolitian,33
20.0,Fog,Jam,Snack,motorcycle,1.0,No,Metropolitian,28
20.0,Windy,Medium,Drinks,electric_scooter,0.0,No,Metropolitian,15
29.0,Stormy,Jam,Meal,scooter,1.0,No,Metropolitian,29
26.0,Stormy,Low,Meal,scooter,1.0,No,Metropolitian,18
25.0,Stormy,Low,Meal,motorcycle,1.0,No,Metropolitian,14
34.0,Windy,Medium,Snack,motorcycle,1.0,No,Metropolitian,30
31.0,Sunny,High,Snack,motorcycle,0.0,No,Metropolitian,28
24.0,Fog,Jam,Snack,motorcycle,1.0,No,Metropolitian,39
30.0,Cloudy,Medium,Meal,motorcycle,0.0,No,Metropolitian,30
36.0,Sandstorms,Medium,Buffet,motorcycle,1.0,No,Metropolitian,36
36.0,Fog,Low,Snack,motorcycle,1.0,No,Metropolitian,37
26.0,Cloudy,Jam,Meal,motorcycle,1.0,No,Metropolitian,43
30.0,Sunny,Low,Buffet,scooter,1.0,No,Metropolitian,29
20.0,Stormy,Medium,Drinks,scooter,1.0,No,Metropolitian,25
33.0,Fog,Medium,Buffet,electric_scooter,1.0,No,Urban,15
29.0,Sandstorms,Jam,Snack,scooter,0.0,No,Metropolitian,24
34.0,Windy,Jam,Snack,motorcycle,2.0,No,Metropolitian,39
36.0,Windy,Low,Buffet,motorcycle,1.0,No,Metropolitian,20
33.0,Fog,Low,Buffet,motorcycle,1.0,No,Metropolitian,15
22.0,Sandstorms,Low,Drinks,motorcycle,1.0,No,Metropolitian,16
38.0,Sunny,Low,Drinks,scooter,1.0,No,Metropolitian,19
27.0,Fog,Low,Drinks,scooter,0.0,No,Metropolitian,20
32.0,Sunny,Jam,Meal,scooter,1.0,No,Metropolitian,25
26.0,Cloudy,Jam,Snack,motorcycle,1.0,No,Metropolitian,43
29.0,Windy,Low,Drinks,motorcycle,0.0,No,Urban,15
31.0,Sunny,Jam,Buffet,motorcycle,0.0,No,Urban,29
28.0,Stormy,High,Drinks,motorcycle,0.0,No,Metropolitian,14
21.0,Sunny,Medium,Buffet,motorcycle,1.0,No,Metropolitian,11
21.0,Sandstorms,Low,Buffet,motorcycle,1.0,No,Metropolitian,19
30.0,Windy,Low,Drinks,motorcycle,1.0,No,Metropolitian,29
29.0,Cloudy,Medium,Buffet,motorcycle,1.0,No,Urban,11
20.0,Sunny,High,Snack,motorcycle,0.0,No,Metropolitian,14
28.0,Windy,Low,Snack,motorcycle,0.0,No,Urban,15
25.0,Sandstorms,Low,Meal,motorcycle,1.0,No,Metropolitian,16
29.0,Fog,Low,Buffet,motorcycle,1.0,Yes,Urban,43
38.0,Stormy,Low,Buffet,motorcycle,1.0,No,Metropolitian,20
39.0,Stormy,Low,Drinks,motorcycle,1.0,No,Metropolitian,26
26.0,Windy,Medium,Snack,scooter,0.0,No,Metropolitian,26
33.0,Windy,Jam,Meal,motorcycle,0.0,No,Urban,43
24.0,Sandstorms,Medium,Snack,motorcycle,1.0,No,Urban,25
24.0,Fog,Medium,Buffet,motorcycle,1.0,No,Metropolitian,28
33.0,Stormy,Low,Buffet,scooter,0.0,No,Metropolitian,17
35.0,Windy,Jam,Drinks,motorcycle,1.0,No,Metropolitian,44
27.0,Stormy,Jam,Buffet,motorcycle,1.0,No,Metropolitian,33
29.0,Cloudy,Medium,Snack,scooter,1.0,No,Urban,19
29.0,Sunny,Medium,Snack,motorcycle,0.0,No,Metropolitian,15
34.0,Fog,Low,Buffet,scooter,1.0,No,Metropolitian,27
20.0,Cloudy,High,Meal,scooter,1.0,No,Metropolitian,25
29.0,Sunny,High,Drinks,motorcycle,1.0,No,Metropolitian,18
22.0,Stormy,Medium,Snack,scooter,0.0,No,Metropolitian,21
35.0,Cloudy,Jam,Buffet,motorcycle,2.0,No,Metropolitian,53
32.0,Sandstorms,Jam,Drinks,motorcycle,3.0,No,Metropolitian,42
28.0,Sunny,Jam,Snack,motorcycle,1.0,No,Metropolitian,20
30.0,Fog,Low,Meal,scooter,0.0,No,Metropolitian,29
22.0,Stormy,Jam,Snack,scooter,0.0,No,Urban,15
36.0,Fog,Medium,Buffet,motorcycle,1.0,No,Metropolitian,30
23.0,Windy,Jam,Snack,motorcycle,1.0,No,Metropolitian,28
22.0,Stormy,Low,Drinks,motorcycle,1.0,No,Metropolitian,19
29.0,Sandstorms,Low,Meal,motorcycle,1.0,No,Metropolitian,15
34.0,Sandstorms,Jam,Buffet,motorcycle,3.0,Yes,Urban,50
38.0,Stormy,High,Buffet,motorcycle,1.0,Yes,Metropolitian,41
35.0,Fog,Medium,Snack,motorcycle,1.0,No,Metropolitian,37
38.0,Cloudy,Jam,Drinks,scooter,1.0,No,Metropolitian,28
32.0,Cloudy,Medium,Meal,scooter,2.0,No,Metropolitian,35
20.0,Windy,Jam,Buffet,motorcycle,1.0,No,Metropolitian,27
25.0,Fog,Jam,Buffet,motorcycle,2.0,No,Metropolitian,43
29.0,Fog,Low,Meal,scooter,0.0,No,Metropolitian,12
32.0,Sandstorms,Jam,Meal,scooter,1.0,No,Metropolitian,31
39.0,Cloudy,Jam,Drinks,motorcycle,2.0,No,Metropolitian,39
31.0,Stormy,Jam,Buffet,motorcycle,1.0,No,Urban,47
37.0,Fog,Low,Buffet,motorcycle,1.0,No,Urban,26
36.0,Cloudy,Medium,Snack,electric_scooter,1.0,No,Metropolitian,31
37.0,Sandstorms,Jam,Snack,motorcycle,1.0,No,Metropolitian,42
29.0,Stormy,Jam,Meal,scooter,0.0,No,Urban,12
38.0,Cloudy,High,Snack,scooter,1.0,No,Metropolitian,25
37.0,Sandstorms,Jam,Drinks,motorcycle,1.0,No,Metropolitian,39
21.0,Fog,Low,Buffet,scooter,1.0,No,Metropolitian,21
35.0,Fog,Medium,Meal,electric_scooter,0.0,No,Metropolitian,18
22.0,Sandstorms,Jam,Snack,scooter,1.0,No,Urban,22
28.0,Fog,Low,Buffet,motorcycle,1.0,No,Metropolitian,23
39.0,Stormy,Medium,Drinks,motorcycle,0.0,No,Metropolitian,48
29.0,Windy,Low,Snack,scooter,0.0,No,Urban,13
39.0,Sandstorms,High,Drinks,motorcycle,1.0,No,Metropolitian,32
25.0,Sandstorms,Jam,Snack,electric_scooter,0.0,No,Urban,16
34.0,Cloudy,Medium,Snack,electric_scooter,0.0,No,Urban,19
22.0,Sunny,Low,Drinks,motorcycle,1.0,No,Metropolitian,18
27.0,Windy,Jam,Buffet,motorcycle,1.0,No,Metropolitian,27
28.0,Sunny,Medium,Drinks,motorcycle,1.0,No,Urban,25
32.0,Stormy,Medium,Drinks,scooter,1.0,No,Metropolitian,31
29.0,Fog,Jam,Drinks,scooter,1.0,No,Metropolitian,39
27.0,Sunny,Medium,Snack,motorcycle,0.0,No,Metropolitian,20
35.0,Windy,Jam,Snack,motorcycle,2.0,No,Metropolitian,38
22.0,Windy,Low,Buffet,motorcycle,1.0,No,Metropolitian,19
35.0,Sunny,Jam,Drinks,electric_scooter,1.0,No,Metropolitian,17
30.0,Cloudy,Low,Buffet,motorcycle,0.0,No,Urban,24
39.0,Fog,High,Drinks,scooter,1.0,No,Urban,26
33.0,Sandstorms,Medium,Meal,motorcycle,1.0,No,Metropolitian,28
20.0,Sandstorms,Medium,Snack,scooter,1.0,No,Urban,16
20.0,Fog,Medium,Buffet,motorcycle,0.0,No,Urban,17
34.0,Windy,Low,Snack,motorcycle,0.0,No,Urban,24
22.0,Windy,Medium,Meal,motorcycle,1.0,No,Metropolitian,24
37.0,Stormy,High,Meal,scooter,1.0,No,Metropolitian,34
20.0,Cloudy,Low,Snack,motorcycle,1.0,No,Urban,16
33.0,Windy,Low,Drinks,motorcycle,1.0,No,Metropolitian,26
21.0,Fog,Medium,Drinks,motorcycle,1.0,No,Metropolitian,25
33.0,Fog,Medium,Meal,motorcycle,2.0,No,Metropolitian,49
24.0,Windy,Medium,Snack,electric_scooter,0.0,No,Urban,24
36.0,Sandstorms,High,Meal,scooter,2.0,No,Metropolitian,32
30.0,Sunny,Medium,Buffet,motorcycle,1.0,No,Metropolitian,26
32.0,Sandstorms,Low,Buffet,scooter,1.0,No,Metropolitian,24
28.0,Stormy,Jam,Drinks,electric_scooter,0.0,No,Metropolitian,16
21.0,Windy,Jam,Drinks,scooter,1.0,No,Metropolitian,27
39.0,Fog,High,Drinks,motorcycle,1.0,No,Metropolitian,25
32.0,Cloudy,Low,Drinks,motorcycle,0.0,No,Metropolitian,26
20.0,Sandstorms,Jam,Buffet,scooter,1.0,No,Urban,25
29.0,Fog,Low,Meal,motorcycle,1.0,No,Metropolitian,26
36.0,Fog,Low,Meal,scooter,1.0,No,Urban,15
28.0,Sunny,Low,Buffet,scooter,1.0,No,Urban,18
32.0,Fog,Jam,Buffet,motorcycle,1.0,No,Metropolitian,30
39.0,Cloudy,Jam,Drinks,scooter,1.0,No,Metropolitian,46
30.0,Windy,Low,Drinks,motorcycle,1.0,No,Metropolitian,24
32.0,Sandstorms,Medium,Drinks,motorcycle,1.0,No,Metropolitian,37
23.0,Windy,Jam,Snack,motorcycle,1.0,No,Metropolitian,27
21.0,Windy,Medium,Buffet,scooter,1.0,No,Metropolitian,27
31.0,Windy,Medium,Meal,electric_scooter,1.0,No,Metropolitian,32
37.0,Stormy,High,Buffet,electric_scooter,1.0,No,Urban,28
20.0,Sandstorms,Jam,Drinks,motorcycle,1.0,No,Metropolitian,29
28.0,Sandstorms,Low,Snack,motorcycle,1.0,No,Metropolitian,27
22.0,Cloudy,Low,Snack,motorcycle,0.0,No,Metropolitian,11
20.0,Cloudy,Medium,Buffet,motorcycle,1.0,No,Urban,13
34.0,Windy,Low,Buffet,scooter,1.0,No,Metropolitian,27
38.0,Windy,High,Snack,scooter,1.0,No,Metropolitian,25
29.0,Fog,Low,Drinks,scooter,1.0,No,Metropolitian,26
32.0,Cloudy,High,Buffet,motorcycle,1.0,No,Metropolitian,27
34.0,Sunny,Low,Snack,scooter,1.0,No,Metropolitian,26
33.0,Windy,Medium,Meal,electric_scooter,1.0,No,Metropolitian,32
34.0,Windy,Low,Meal,motorcycle,1.0,No,Metropolitian,25
32.0,Stormy,Jam,Meal,motorcycle,1.0,No,Metropolitian,32
29.0,Sunny,Low,Drinks,scooter,2.0,Yes,Metropolitian,42
34.0,Sunny,Jam,Drinks,motorcycle,1.0,No,Metropolitian,29
26.0,Cloudy,Jam,Buffet,scooter,0.0,No,Metropolitian,32
31.0,Cloudy,Low,Drinks,motorcycle,1.0,No,Metropolitian,35
39.0,Sunny,High,Drinks,motorcycle,1.0,No,Metropolitian,27
27.0,Sunny,Low,Meal,motorcycle,0.0,No,Metropolitian,15
32.0,Cloudy,Jam,Buffet,scooter,1.0,No,Urban,27
32.0,Stormy,Medium,Meal,motorcycle,1.0,No,Metropolitian,30
39.0,Sunny,Medium,Snack,motorcycle,1.0,No,Metropolitian,32
36.0,Stormy,Low,Meal,electric_scooter,0.0,No,Metropolitian,25
37.0,Windy,Medium,Buffet,motorcycle,1.0,No,Metropolitian,38
37.0,Fog,Jam,Meal,scooter,1.0,No,Metropolitian,26
38.0,Stormy,Jam,Meal,motorcycle,1.0,No,Metropolitian,31
28.0,Stormy,High,Drinks,scooter,1.0,No,Metropolitian,28
34.0,Stormy,Medium,Meal,scooter,0.0,No,Metropolitian,31
32.0,Cloudy,Low,Buffet,motorcycle,1.0,No,Metropolitian,29
22.0,Windy,Low,Buffet,motorcycle,0.0,No,Urban,17
31.0,Windy,Medium,Drinks,motorcycle,3.0,Yes,Metropolitian,45
27.0,Sandstorms,Medium,Meal,motorcycle,1.0,No,Metropolitian,34
29.0,Windy,Jam,Drinks,scooter,0.0,No,Metropolitian,24
38.0,Sandstorms,Jam,Meal,motorcycle,3.0,No,Metropolitian,44
35.0,Cloudy,Jam,Snack,motorcycle,2.0,No,Metropolitian,36
31.0,Sunny,Jam,Meal,motorcycle,0.0,No,Metropolitian,28
30.0,Windy,Medium,Drinks,scooter,2.0,No,Metropolitian,37
24.0,Fog,Medium,Snack,motorcycle,0.0,No,Urban,10
33.0,Stormy,Low,Drinks,motorcycle,0.0,No,Urban,23
29.0,Sandstorms,Low,Meal,motorcycle,0.0,No,Metropolitian,22
38.0,Stormy,High,Snack,scooter,1.0,No,Metropolitian,26
26.0,Sandstorms,Jam,Drinks,motorcycle,1.0,No,Metropolitian,34
39.0,Sandstorms,Medium,Buffet,scooter,0.0,No,Metropolitian,26
